Date,Open,High,Low,Close,Adj Close,Volume
2023-11-08,180.5812266581694,181.67054768588966,179.82858892219454,181.11598205566406,181.11598205566406,49340300
2023-11-09,181.18530832204868,182.3340449245472,180.04645416963677,180.64064025878906,180.64064025878906,53763500
2023-11-10,182.42552132152326,185.00369964258533,181.989212824357,184.83511352539062,184.83511352539062,66133400
2023-11-13,184.25999143916752,184.4682199516521,182.6635072771428,183.24855041503906,183.24855041503906,43627500
2023-11-14,186.1242211071054,186.53078271340215,184.7359804157126,185.8664093017578,185.8664093017578,60108400
2023-11-15,186.2729495954029,187.90909130382101,186.20353000343164,186.4315948486328,186.4315948486328,53790500
2023-11-16,187.9785160308428,189.35684600106327,187.06622636374277,188.11734008789062,188.11734008789062,54412900
2023-11-17,188.65279989002153,188.78171334674664,186.98691120628507,188.09750366210938,188.09750366210938,50922700
2023-11-20,188.29581152699646,190.29885721130628,188.28590092727276,189.84271240234375,189.84271240234375,46505100
2023-11-21,189.80306012274144,189.91213724546566,188.14708208188244,189.03952026367188,189.03952026367188,38134500
2023-11-22,189.88239992204348,191.31029805901488,189.22793715258507,189.7039031982422,189.7039031982422,39617700
2023-11-24,189.26757546541884,189.2973223945837,187.66118076777323,188.37513732910156,188.37513732910156,24048300
2023-11-27,188.32555346106983,189.06925694915728,187.3141124806788,188.19664001464844,188.19664001464844,40552600
2023-11-28,188.1867388581487,189.47582799498892,187.8099242301234,188.80152893066406,188.80152893066406,38415400
2023-11-29,189.2973359031836,190.47734794655034,187.3835460471391,187.78018188476562,187.78018188476562,43014200
2023-11-30,188.2462390361622,188.7222202024886,186.61009727764167,188.35531616210938,188.35531616210938,48794400
2023-12-01,188.73212704562349,189.95179660734362,187.64135580786584,189.63449096679688,189.63449096679688,45704800
2023-12-04,188.38504622543272,188.45446581331387,185.87628768397204,187.83966064453125,187.83966064453125,43389500
2023-12-05,188.61314558971708,192.76795676998717,188.58338352707358,191.7961883544922,191.7961883544922,66628400
2023-12-06,192.81755229252437,193.12494736273675,190.4972006683192,190.7054443359375,190.7054443359375,41089700
2023-12-07,192.00444213716838,193.3629358704378,191.9647694720094,192.63906860351562,192.63906860351562,47477700
2023-12-08,192.56962283922067,194.3446036620394,192.04407357743747,194.06695556640625,194.06695556640625,53406400
2023-12-11,191.48877730415995,191.8655919183663,189.8129630007935,191.5581817626953,191.5581817626953,60943700
2023-12-12,191.45905774250062,193.08528901898003,190.1104746012234,193.07537841796875,193.07537841796875,52696900
2023-12-13,193.45216455954898,196.33773797632358,193.214189106248,196.29808044433594,196.29808044433594,70404200
2023-12-14,196.35758232148717,197.9441408874326,194.51319682969313,196.4468231201172,196.4468231201172,66831600
2023-12-15,195.87168903034603,196.73438033852585,195.34613971264017,195.91136169433594,195.91136169433594,128538400
2023-12-18,194.4437708037096,194.97924583916173,192.75804576345098,194.24545288085938,194.24545288085938,55751900
2023-12-19,194.51320107826476,195.2965622122741,194.24546354583867,195.28665161132812,195.28665161132812,40714100
2023-12-20,195.24696511767544,196.0204155959587,193.19435119628906,193.19435119628906,193.19435119628906,52242800
2023-12-21,194.45370060278358,195.42546903656068,191.87552215973167,193.0456085205078,193.0456085205078,46482500
2023-12-22,193.54139247575878,193.7694724442452,191.34995462543642,191.97467041015625,191.97467041015625,37149600
2023-12-26,191.98458698376479,192.262235089905,191.21113652656177,191.42929077148438,191.42929077148438,28919300
2023-12-27,190.87400998463178,191.8755253676685,189.48575421105227,191.52845764160156,191.52845764160156,48087700
2023-12-28,192.51016078496022,193.02579953233345,191.54830289093405,191.95486450195312,191.95486450195312,34049900
2023-12-29,192.27214410156537,192.76794644853246,190.1203637314106,190.9136505126953,190.9136505126953,42672100
2024-01-02,185.5788148528252,186.85799339797134,182.34618895522584,184.0814971923828,184.0814971923828,82488700
2024-01-03,182.67340858873573,184.31947592788424,181.8900324473893,182.70315551757812,182.70315551757812,58414500
2024-01-04,180.62078794157884,181.55289876959398,179.36146088139282,180.3828125,180.3828125,71983600
2024-01-05,180.46214807824285,181.2256728170181,178.65742022872922,179.658935546875,179.658935546875,62379700
2024-01-08,180.56131218264795,184.04185467153414,179.97626898919978,184.00218200683594,184.00218200683594,59144500
2024-01-09,182.37594957443397,183.59561921893004,181.19593746369003,183.58570861816406,183.58570861816406,42841800
2024-01-10,182.8023278606972,184.8351053395885,182.3759299825551,184.6268768310547,184.6268768310547,46792900
2024-01-11,184.97392753345,185.47965559618967,182.07844372761645,184.0319061279297,184.0319061279297,49128400
2024-01-12,184.49797017252533,185.17226924419936,183.63527891547233,184.35914611816406,184.35914611816406,40477800
2024-01-16,180.63071876275188,182.71307958868692,179.41103406753936,182.08837890625,182.08837890625,65603000
2024-01-17,179.74819585869176,181.39424823145328,178.786338048284,181.14634704589844,181.14634704589844,47317400
2024-01-18,184.5277024783634,187.55209963440907,184.26989072089356,187.04638671875,187.04638671875,78005800
2024-01-19,187.74052319933506,190.33852272040096,187.23481023986653,189.95179748535156,189.95179748535156,68903000
2024-01-22,190.68557454998964,193.69013538694645,190.6459018913611,192.26222229003906,192.26222229003906,60133900
2024-01-23,193.38275184285894,194.10661903356933,192.20273983497614,193.54139709472656,193.54139709472656,42355600
2024-01-24,193.77940103141137,194.73134826169684,192.7084660713482,192.86712646484375,192.86712646484375,53631300
